subtype,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8
LUAD,-8.32680040209389,-2.65330527019129,-4.58948878399743,9.33879511484515,-4.77248242962844,2.03392424750832,2.62840617260833,-10.3263155850807
LUAD,-9.49253830521907,8.73209522238562,8.19769675813915,7.92767125032683,19.7500227388924,1.46657263561411,2.12501993734005,13.5708721853251
LUAD,-15.3525419605544,-1.36380149497764,-7.10129873786311,1.6696920872351,-0.709955556113943,3.19832130019623,-2.94843456954227,-4.45730225072146
LUAD,5.18176112211445,-3.14309357445588,11.0078838829338,0.632001822118235,2.31415462142049,-3.44804113744008,-0.64224528101096,-2.7497423712388
LUAD,4.27533399917681,-16.288999783334,-3.73754846559324,2.96651406006432,6.65993730162942,-3.42016703313614,1.94934083098537,0.813945193104295
LUAD,-10.1010815150271,5.29078687179717,5.81420835733875,-0.804440457815667,16.5109325405277,-3.71752979368798,-3.68497880025139,-4.31258687149415
LUAD,-16.349507966021,-4.42206878062111,-3.39795401216445,6.78879140117675,1.73570043207967,2.61761636916672,2.89282529812174,1.67633443262338
LUAD,3.58745345100889,4.30454701170096,16.9899422863724,11.9584259329789,13.0250652917923,1.62360047935032,2.1599785772803,2.87372493179259
LUSC,-8.37023341066359,-4.78485641718969,-8.8519535316232,4.551743927553,-4.27701380851088,1.31635081956446,0.156983021310832,-2.7694118670515
LUAD,-17.4841119554996,2.99418399932777,-5.66549480775024,-0.677231456540622,-5.12638121503646,7.15509076231734,0.372219379542616,-0.45981093971337
LUSC,-1.89214688116832,-0.884562067594448,-5.45646107060564,18.390751938537,1.58911690899284,0.17322437347429,-0.699273930738669,-8.9092386096251
LUAD,-8.02026669935558,19.5174027695983,9.82972379167128,3.44188730289578,-2.59432597029874,-17.3898826585117,0.852024315371024,2.99202276776409
LUSC,4.25879184928677,6.7692286898126,2.70480690358201,4.15684399016952,3.14567933914704,-2.28918235254774,0.267257226151799,2.8490040973423
LUSC,16.7546682167685,-6.43722203021166,4.11826707754904,0.102792166021294,-0.44206569091071,-1.97778881786716,0.574334145155138,-7.77742250832947
LUAD,-10.7802154993454,0.916497488784517,0.745789904429717,20.7274778960819,3.54690574646374,0.837909428188134,5.34193101917002,5.02293376498168
LUSC,-11.3944625660476,-2.23039201393243,-10.6663732775507,0.61076413058823,-1.98243647702432,0.279690232667245,-1.17572023247686,-3.88123762066703
LUAD,-17.3536259766753,-7.02724189405399,-8.57462239826564,-5.11488561560712,1.40850256864113,-1.31045610548197,-2.1345887231571,-2.2451409962756
LUAD,-22.8799344158377,-0.673149280617738,-3.16979003035493,3.98564898918871,-13.7609346707189,3.6178109640715,-1.85090247990111,2.90513201602084
LUAD,15.0569059209622,7.96347153189979,21.636232868537,-4.66428988168527,5.57508180014722,15.2013825139129,13.3007817393275,2.65418636584345
LUAD,-18.7154085810868,-5.84309750081278,0.927323319856777,-3.46626511133611,-9.34757014300262,-4.33143465007273,-2.15950082767532,2.3288164485435
LUAD,-14.5954954865643,-3.4635856771579,-7.11439924024888,-3.82616173334552,1.43859103184165,0.183779655604644,0.307934640356129,-3.5800333126443
LUAD,-3.86568231442953,5.6422344456806,0.393879245702597,8.21545981192292,0.642722696132636,-4.72267479803677,1.33114143399311,-5.80373974945341
LUAD,-11.3468927156245,-1.54131156016648,0.604625369726934,-2.31792113012701,4.94154772675593,1.15677912326123,1.1591912466379,0.196867943333611
LUAD,-17.8166203873046,-6.08742415904209,-6.79451562533842,-10.3366256713596,3.50277018498583,-2.72562701752773,-1.61561304866453,0.889763345621795
LUAD,-6.35969107179683,-4.83404433921489,-3.18320066697437,-12.5828115325127,3.49921798713086,0.22790286358898,-2.14752967633669,-0.392296690262398
LUSC,7.05723564424305,-6.44272431863151,10.4998153117125,-2.36140238192001,-2.30645674561266,-6.08520508547277,-6.51602398474778,19.4714623794951
LUAD,-16.9986785113373,-7.16495413006177,0.861432731485149,3.49807164462545,1.74468898689899,-3.39400190448395,2.53507106498248,0.468105476243728
LUSC,18.4969744022401,-5.4541439023553,1.47915024165359,17.9813113207644,7.71272402890399,-6.94699999885234,-6.80826998431527,-11.066154386665
LUSC,19.7896800820645,6.491068074367,8.29733294606324,-23.5957848196971,5.48211095906416,-4.02333411979446,0.556739162286493,0.927950398818211
LUSC,20.3050357907483,-3.82126827638917,2.62675967758776,-7.65195973550578,11.1067063064652,-3.17483970419845,0.704436862101428,-0.341205510471533
LUAD,-10.7796478495726,11.1005992703097,-1.08561595513947,-5.74167981233143,-0.246242448534801,0.824067014926105,8.67135296476417,-0.0679423894152534
LUSC,-9.06915241921766,-2.9831980010902,-2.49880399777372,-8.53335022179767,5.50121882318423,-2.96294849147453,1.13214783391835,-7.29760424740923
LUSC,0.114199517120412,-12.4836390608101,-2.34264854490959,-8.83302800400383,0.545291818717724,-1.26813249615631,-0.821164093352526,2.9919660419237
LUSC,11.4429248676984,-9.38043088234018,0.852215628107971,-5.25838433053225,-5.47698348018045,-8.63865110776389,-2.31914460088675,0.0389476064117926
LUAD,-9.84902947814075,4.13210496857831,8.55587106765899,-6.52576089915515,2.3514208078433,-10.7756507641774,-4.64464368614418,3.76990651366637
LUSC,16.6577517728415,-0.576719710384234,17.3208167004577,-12.7321350708782,0.668862674597786,9.1967552798012,3.69334705350116,-9.99705146342141
LUSC,5.77408354584859,-9.08209171183073,-0.153370585891912,-9.37963807344394,5.72182331508026,-5.10215601241235,5.90703152074071,6.29299880708004
LUAD,-12.0039711799178,-0.100267228488389,13.4876107665326,-17.0470245295973,-1.74777067364082,3.51587183426212,-2.49079373175533,-2.14067229361083
